,id,image_id,iscrowd,bbox,area,num_keypoints,keypoints,category_id,file_name
0,569,420,0,"[787.67, 354.0, 209.81, 232.3]",48738,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 986.06, 371.99, 2, 0, 0, 0, 989.35, 482.64, 2, 0, 0, 0, 997.48, 583.52, 2, 790.98, 354.0, 2, 840.13, 391.73, 2, 821.15, 422.98, 2, 945.3, 468.15, 2, 787.67, 505.7, 2, 916.57, 586.3, 2]",1,CCTV_420.png
1,570,420,0,"[430.95, 221.36, 223.57, 457.21]",102218,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 441.31, 266.17, 2, 572.61, 221.36, 2, 438.1, 354.23, 2, 603.89, 293.37, 2, 430.95, 390.77, 2, 603.42, 369.57, 2, 476.45, 431.77, 2, 577.51, 412.35, 2, 485.02, 536.26, 2, 587.61, 540.73, 2, 498.17, 633.31, 2, 654.52, 678.57, 2]",1,CCTV_420.png
2,914,684,0,"[814.64, 124.04, 77.91, 199.73]",15560,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 865.88, 124.04, 2, 840.02, 125.21, 2, 853.91, 156.95, 2, 870.55, 133.73, 2, 865.6, 183.24, 2, 892.55, 141.35, 2, 890.92, 188.59, 2, 814.64, 206.99, 2, 824.93, 218.78, 2, 0, 0, 0, 839.67, 266.47, 2, 0, 0, 0, 827.99, 323.77, 2]",1,CCTV_684.png
3,485,361,0,"[117.51, 131.01, 56.43, 140.76]",7943,17,"[141.71, 135.79, 2, 143.34, 131.01, 2, 138.24, 131.71, 2, 148.06, 132.15, 2, 134.41, 133.56, 2, 163.61, 149.28, 2, 124.38, 148.96, 2, 166.2, 165.72, 2, 117.51, 170.0, 2, 161.47, 177.6, 2, 138.44, 183.75, 2, 159.64, 198.98, 2, 131.55, 201.08, 2, 166.18, 234.76, 2, 141.11, 230.98, 2, 173.94, 271.77, 2, 145.78, 259.82, 2]",1,CCTV_361.png
4,638,478,0,"[271.24, 257.41, 88.15, 196.0]",17277,16,"[288.96, 262.37, 2, 292.1, 257.41, 2, 287.16, 258.36, 2, 301.78, 260.98, 2, 0, 0, 0, 328.73, 271.02, 2, 283.98, 274.27, 2, 352.13, 298.69, 2, 279.54, 310.11, 2, 359.39, 331.25, 2, 271.24, 328.74, 2, 339.18, 341.95, 2, 310.59, 340.51, 2, 330.79, 394.82, 2, 310.44, 394.52, 2, 342.75, 453.41, 2, 321.6, 449.12, 2]",1,CCTV_478.png
5,341,259,0,"[136.96, 432.38, 303.02, 242.9]",73603,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188.94, 432.38, 2, 277.03, 473.05, 2, 154.0, 475.05, 2, 332.66, 531.22, 2, 136.96, 487.38, 2, 439.98, 545.71, 2, 184.58, 573.99, 2, 244.67, 583.32, 2, 184.21, 640.11, 2, 260.37, 675.28, 2, 0, 0, 0, 0, 0, 0]",1,CCTV_259.png
6,342,259,0,"[316.79, 375.47, 112.22, 315.17]",35368,15,"[335.89, 383.81, 2, 345.24, 378.9, 2, 334.92, 375.47, 2, 378.21, 381.56, 2, 0, 0, 0, 420.74, 419.71, 2, 327.37, 390.06, 2, 429.01, 504.57, 2, 316.79, 454.51, 2, 410.36, 584.52, 2, 0, 0, 0, 387.45, 534.01, 2, 339.04, 520.22, 2, 380.91, 619.45, 2, 345.97, 606.18, 2, 390.37, 690.64, 2, 363.57, 669.82, 2]",1,CCTV_259.png
7,343,259,0,"[496.62, 429.97, 205.4, 224.76]",46165,11,"[574.01, 437.14, 2, 580.91, 429.97, 2, 0, 0, 0, 610.98, 441.81, 2, 0, 0, 0, 565.96, 505.81, 2, 680.54, 495.81, 2, 526.57, 538.34, 2, 702.02, 586.84, 2, 496.62, 567.9, 2, 682.25, 641.35, 2, 573.15, 654.73, 2, 637.89, 651.1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,CCTV_259.png
8,77,51,0,"[682.01, 255.49, 41.42, 48.83]",2022,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 682.71, 256.81, 2, 707.56, 255.49, 2, 682.01, 272.79, 2, 709.22, 270.94, 2, 0, 0, 0, 0, 0, 0, 690.72, 283.9, 2, 704.64, 282.49, 2, 0, 0, 0, 721.89, 279.35, 2, 0, 0, 0, 723.43, 304.32, 2]",1,CCTV_51.png
9,78,51,0,"[787.4, 247.81, 60.54, 87.9]",5321,12,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 805.93, 247.81, 2, 804.82, 256.82, 2, 811.74, 253.59, 2, 827.35, 263.3, 2, 820.07, 253.69, 2, 847.94, 266.55, 2, 799.24, 281.71, 2, 799.29, 284.77, 2, 800.79, 304.15, 2, 810.99, 304.48, 2, 787.4, 314.84, 2, 815.73, 335.71, 2]",1,CCTV_51.png
